Book Id,Title,Author,Author l-f,Additional Authors,ISBN,ISBN13,My Rating,Average Rating,Publisher,Binding,Number of Pages,Year Published,Original Publication Year,Date Read,Date Added,Bookshelves,Bookshelves with positions,Exclusive Shelf,My Review,Spoiler,Private Notes,Read Count,Recommended For,Recommended By,Owned Copies,Original Purchase Date,Original Purchase Location,Condition,Condition Description,BCID
4064693,A Concise History of the Catholic Church,Thomas Bokenkotter,"Bokenkotter, Thomas",,"=""0385505841""","=""9780385505840""",0,3.73,Doubleday,Hardcover,624,2004,1977,,2013/10/14,to-read,to-read (#29),to-read,,,,0,,,0,,,,,
174872,Common Sense 101: Lessons from Chesterton,Dale Ahlquist,"Ahlquist, Dale",,"=""1586171399""","=""9781586171391""",0,4.29,Ignatius Press,Paperback,316,2006,2006,,2013/10/14,to-read,to-read (#28),to-read,,,,0,,,0,,,,,
982949,Compendium of the Social Doctrine of the Church,The Catholic Church,"Church, The Catholic","Enrique Colom, Renato Martino","=""1574556924""","=""9781574556926""",0,4.50,USCCB,Paperback,446,2005,2005,,2013/10/14,to-read,to-read (#27),to-read,,,,0,,,0,,,,,
414911,Man & Woman He Created Them (Tob),Pope John Paul II,"II, Pope John Paul",Michael Waldstein,"=""0819874213""","=""9780819874214""",0,4.59,Pauline Books & Media,Paperback,768,2006,1997,,2013/10/14,to-read,to-read (#26),to-read,,,,0,,,0,,,,,
168724,A Summa of the Summa,Peter Kreeft,"Kreeft, Peter",Thomas Aquinas,"=""089870300X""","=""9780898703009""",0,4.16,Ignatius Press,Paperback,539,1990,1990,,2013/10/14,to-read,to-read (#25),to-read,,,,0,,,0,,,,,
936055,The Way,Josemaría Escrivá,"Escrivá, Josemaría",,"=""9715540171""","=""9789715540179""",0,4.51,,,403,,1934,,2013/10/14,to-read,to-read (#24),to-read,,,,0,,,0,,,,,
112760,The Everlasting Man,G.K. Chesterton,"Chesterton, G.K.",,"=""1573832979""","=""9781573832977""",0,4.19,Regent College Publishing,Paperback,260,2006,1925,,2013/10/14,to-read,to-read (#23),to-read,,,,0,,,0,,,,,
406639,Interior Castle,Teresa of Ávila,"Ávila, Teresa of",,"=""0385036434""","=""9780385036436""",0,4.09,Image,Paperback,288,1972,1588,,2013/10/14,to-read,to-read (#22),to-read,,,,0,,,0,,,,,
139119,Dark Night of the Soul: A Masterpiece in the Literature of Mysticism by St. John of the Cross,John of the Cross,"Cross, John of the",E. Allison Peers,"=""0385029306""","=""9780385029308""",0,4.15,Image,Paperback,222,1959,1584,,2013/10/14,to-read,to-read (#21),to-read,,,,0,,,0,,,,,
6829199,The Jesuit Guide to (Almost) Everything: A Spirituality for Real Life,James     Martin,"Martin, James",,"=""0061432687""","=""9780061432682""",5,4.18,HarperOne,Hardcover,420,2010,2010,,2013/10/14,,,read,,,,1,,,0,,,,,
754771,Story of a Soul: The Autobiography of St. Therese of Lisieux,Thérèse de Lisieux,"Lisieux, Thérèse de",John Clarke,"=""0935216588""","=""9780935216585""",4,4.35,ICS Publications,Paperback,306,1996,1898,,2013/10/02,,,read,,,,1,,,0,,,,,
1240353,Proslogion,Anselm of Canterbury,"Canterbury, Anselm of",Max J. Charlesworth,"=""0268016976""","=""9780268016975""",4,3.76,University of Notre Dame Press,Paperback,204,1992,1078,,2013/03/20,,,read,,,,1,,,0,,,,,
